,Year,Month,DayofMonth,DayOfWeek,Actual_Shipment_Time,Planned_Shipment_Time,Planned_Delivery_Time,Carrier_Name,Carrier_Num,Planned_TimeofTravel,Shipment_Delay,Source,Destination,Distance,Delivery_Status
0,2020,1,3,4,2003.0,1955,2225,WN,335,150,8.0,IAD,TPA,810,0.0
1,2020,1,3,4,754.0,735,1000,WN,3231,145,19.0,IAD,TPA,810,1.0
2,2020,1,3,4,628.0,620,750,WN,448,90,8.0,IND,BWI,515,0.0
3,2020,1,3,4,926.0,930,1100,WN,1746,90,-4.0,IND,BWI,515,0.0
4,2020,1,3,4,1829.0,1755,1925,WN,3920,90,34.0,IND,BWI,515,1.0
5,2020,1,3,4,1940.0,1915,2110,WN,378,115,25.0,IND,JAX,688,1.0
6,2020,1,3,4,1937.0,1830,1940,WN,509,250,67.0,IND,LAS,1591,1.0
7,2020,1,3,4,1039.0,1040,1150,WN,535,250,-1.0,IND,LAS,1591,0.0
8,2020,1,3,4,617.0,615,650,WN,11,95,2.0,IND,MCI,451,0.0
9,2020,1,3,4,1620.0,1620,1655,WN,810,95,0.0,IND,MCI,451,0.0
10,2020,1,3,4,706.0,700,915,WN,100,135,6.0,IND,MCO,828,0.0
11,2020,1,3,4,1644.0,1510,1725,WN,1333,135,94.0,IND,MCO,828,1.0
12,2020,1,3,4,1426.0,1430,1425,WN,829,55,-4.0,IND,MDW,162,0.0
13,2020,1,3,4,715.0,715,710,WN,1016,55,0.0,IND,MDW,162,0.0
14,2020,1,3,4,1702.0,1700,1655,WN,1827,55,2.0,IND,MDW,162,0.0
15,2020,1,3,4,1029.0,1020,1010,WN,2272,50,9.0,IND,MDW,162,0.0
16,2020,1,3,4,1452.0,1425,1625,WN,675,240,27.0,IND,PHX,1489,1.0
17,2020,1,3,4,754.0,745,955,WN,1144,250,9.0,IND,PHX,1489,0.0
18,2020,1,3,4,1323.0,1255,1510,WN,4,135,28.0,IND,TPA,838,1.0
19,2020,1,3,4,1416.0,1325,1435,WN,54,70,51.0,ISP,BWI,220,1.0
20,2020,1,3,4,706.0,705,810,WN,68,65,1.0,ISP,BWI,220,0.0
21,2020,1,3,4,1657.0,1625,1735,WN,623,70,32.0,ISP,BWI,220,1.0
22,2020,1,3,4,1900.0,1840,1950,WN,717,70,20.0,ISP,BWI,220,1.0
23,2020,1,3,4,1039.0,1030,1140,WN,1244,70,9.0,ISP,BWI,220,0.0
24,2020,1,3,4,801.0,800,910,WN,2101,70,1.0,ISP,BWI,220,0.0
25,2020,1,3,4,1520.0,1455,1605,WN,2553,70,25.0,ISP,BWI,220,1.0
26,2020,1,3,4,1422.0,1255,1610,WN,188,195,87.0,ISP,FLL,1093,1.0
27,2020,1,3,4,1954.0,1925,2235,WN,1754,190,29.0,ISP,FLL,1093,1.0
28,2020,1,3,4,636.0,635,945,WN,2275,190,1.0,ISP,FLL,1093,0.0
29,2020,1,3,4,734.0,730,1020,WN,550,350,4.0,ISP,LAS,2283,0.0
30,2020,1,3,4,2107.0,1945,2230,WN,362,165,82.0,ISP,MCO,972,1.0
31,2020,1,3,4,1008.0,1005,1255,WN,543,170,3.0,ISP,MCO,972,0.0
32,2020,1,3,4,712.0,710,1000,WN,1112,170,2.0,ISP,MCO,972,0.0
33,2020,1,3,4,1312.0,1300,1550,WN,1397,170,12.0,ISP,MCO,972,0.0
34,2020,1,3,4,1449.0,1430,1720,WN,3398,170,19.0,ISP,MCO,972,1.0
35,2020,1,3,4,1634.0,1555,1845,WN,3480,170,39.0,ISP,MCO,972,1.0
36,2020,1,3,4,831.0,830,955,WN,300,145,1.0,ISP,MDW,765,0.0
37,2020,1,3,4,1812.0,1650,1815,WN,422,145,82.0,ISP,MDW,765,1.0
38,2020,1,3,4,1127.0,1105,1230,WN,1837,145,22.0,ISP,MDW,765,1.0
39,2020,1,3,4,1424.0,1355,1520,WN,2871,145,29.0,ISP,MDW,765,1.0
40,2020,1,3,4,1326.0,1230,1530,WN,1056,180,56.0,ISP,PBI,1052,1.0
41,2020,1,3,4,1749.0,1725,2030,WN,2175,185,24.0,ISP,PBI,1052,1.0
42,2020,1,3,4,726.0,720,1020,WN,3319,180,6.0,ISP,PBI,1052,0.0
43,2020,1,3,4,646.0,640,955,WN,3667,195,6.0,ISP,RSW,1101,0.0
44,2020,1,3,4,1153.0,1140,1440,WN,2006,180,13.0,ISP,TPA,1034,0.0
45,2020,1,3,4,1528.0,1510,1810,WN,3858,180,18.0,ISP,TPA,1034,1.0
46,2020,1,3,4,634.0,635,935,WN,3928,180,-1.0,ISP,TPA,1034,0.0
47,2020,1,3,4,831.0,830,1140,WN,534,130,1.0,JAN,BWI,888,0.0
48,2020,1,3,4,1450.0,1435,1745,WN,3244,130,15.0,JAN,BWI,888,0.0
49,2020,1,3,4,2245.0,1730,1850,WN,186,80,315.0,JAN,HOU,359,1.0
50,2020,1,3,4,615.0,615,735,WN,971,80,0.0,JAN,HOU,359,0.0
51,2020,1,3,4,1150.0,1145,1305,WN,2124,80,5.0,JAN,HOU,359,0.0
52,2020,1,3,4,2025.0,1940,2100,WN,3154,80,45.0,JAN,HOU,359,1.0
53,2020,1,3,4,1038.0,945,1225,WN,1035,100,53.0,JAN,MCO,587,1.0
54,2020,1,3,4,1900.0,1850,2045,WN,205,115,10.0,JAN,MDW,666,0.0
55,2020,1,3,4,700.0,700,900,WN,449,120,0.0,JAN,MDW,666,0.0
56,2020,1,3,4,948.0,925,940,WN,3430,75,23.0,JAX,BHM,365,1.0
57,2020,1,3,4,646.0,620,655,WN,1580,95,26.0,JAX,BNA,484,1.0
58,2020,1,3,4,1110.0,1040,1110,WN,2195,90,30.0,JAX,BNA,484,1.0
59,2020,1,3,4,1535.0,1535,1610,WN,2804,95,0.0,JAX,BNA,484,0.0
60,2020,1,3,4,1919.0,1915,1950,WN,3428,95,4.0,JAX,BNA,484,0.0
61,2020,1,3,4,1053.0,1055,1240,WN,433,105,-2.0,JAX,BWI,663,0.0
62,2020,1,3,4,1433.0,1440,1625,WN,1331,105,-7.0,JAX,BWI,663,0.0
63,2020,1,3,4,2015.0,2010,2155,WN,3504,105,5.0,JAX,BWI,663,0.0
64,2020,1,3,4,2139.0,2130,2240,WN,378,70,9.0,JAX,FLL,318,0.0
65,2020,1,3,4,1500.0,1500,1615,WN,640,75,0.0,JAX,FLL,318,0.0
66,2020,1,3,4,850.0,850,1000,WN,1396,70,0.0,JAX,FLL,318,0.0
67,2020,1,3,4,646.0,645,755,WN,2189,70,1.0,JAX,FLL,318,0.0
68,2020,1,3,4,1221.0,1220,1330,WN,3312,70,1.0,JAX,FLL,318,0.0
69,2020,1,3,4,1738.0,1730,1840,WN,3948,70,8.0,JAX,FLL,318,0.0
70,2020,1,3,4,1813.0,1735,1905,WN,54,150,38.0,JAX,HOU,816,1.0
71,2020,1,3,4,802.0,750,955,WN,2272,125,12.0,JAX,IND,688,0.0
72,2020,1,3,4,1820.0,1825,1955,WN,549,90,-5.0,JAX,ORF,543,0.0
73,2020,1,3,4,821.0,820,945,WN,3604,85,1.0,JAX,ORF,543,0.0
74,2020,1,3,4,1734.0,1650,1905,WN,23,135,44.0,JAX,PHL,742,1.0
75,2020,1,3,4,712.0,700,915,WN,1232,135,12.0,JAX,PHL,742,0.0
76,2020,1,3,4,1318.0,1310,1400,WN,977,50,8.0,JAX,TPA,180,0.0
77,2020,1,3,4,958.0,900,950,WN,1574,50,58.0,JAX,TPA,180,1.0
78,2020,1,3,4,1859.0,1850,1945,WN,2019,55,9.0,JAX,TPA,180,0.0
79,2020,1,3,4,1538.0,1445,1710,WN,500,85,53.0,LAS,ABQ,487,1.0
80,2020,1,3,4,933.0,935,1200,WN,778,85,-2.0,LAS,ABQ,487,0.0
81,2020,1,3,4,2248.0,2125,2345,WN,890,80,83.0,LAS,ABQ,487,1.0
82,2020,1,3,4,1327.0,1230,1500,WN,1171,90,57.0,LAS,ABQ,487,1.0
83,2020,1,3,4,624.0,625,850,WN,1320,85,-1.0,LAS,ABQ,487,0.0
84,2020,1,3,4,1614.0,1600,1825,WN,1925,85,14.0,LAS,ABQ,487,0.0
85,2020,1,3,4,1917.0,1915,2140,WN,2457,85,2.0,LAS,ABQ,487,0.0
86,2020,1,3,4,1832.0,1655,30,WN,302,275,97.0,LAS,ALB,2237,1.0
87,2020,1,3,4,1229.0,1155,1555,WN,1079,120,34.0,LAS,AMA,758,1.0
88,2020,1,3,4,1256.0,1240,1720,WN,155,160,16.0,LAS,AUS,1090,1.0
89,2020,1,3,4,2118.0,2015,50,WN,2021,155,63.0,LAS,AUS,1090,1.0
90,2020,1,3,4,905.0,850,1330,WN,3222,160,15.0,LAS,AUS,1090,0.0
91,2020,1,3,4,1739.0,1640,25,WN,1018,285,59.0,LAS,BDL,2298,1.0
92,2020,1,3,4,906.0,905,1430,WN,3948,205,1.0,LAS,BHM,1618,0.0
93,2020,1,3,4,816.0,815,1340,WN,249,205,1.0,LAS,BNA,1588,0.0
94,2020,1,3,4,1325.0,1240,1810,WN,419,210,45.0,LAS,BNA,1588,1.0
95,2020,1,3,4,1506.0,1440,2010,WN,2032,210,26.0,LAS,BNA,1588,1.0
96,2020,1,3,4,2039.0,1930,55,WN,3940,205,69.0,LAS,BNA,1588,1.0
97,2020,1,3,4,924.0,920,1210,WN,71,110,4.0,LAS,BOI,520,0.0
98,2020,1,3,4,1611.0,1535,1825,WN,538,110,36.0,LAS,BOI,520,1.0
99,2020,1,3,4,1824.0,1715,25,WN,2383,250,69.0,LAS,BUF,1987,1.0
100,2020,1,3,4,826.0,825,925,WN,136,60,1.0,LAS,BUR,223,0.0
101,2020,1,3,4,2118.0,2015,2115,WN,219,60,63.0,LAS,BUR,223,1.0
102,2020,1,3,4,1818.0,1740,1840,WN,391,60,38.0,LAS,BUR,223,1.0
103,2020,1,3,4,650.0,650,750,WN,670,60,0.0,LAS,BUR,223,0.0
104,2020,1,3,4,2146.0,2055,2155,WN,815,60,51.0,LAS,BUR,223,1.0
105,2020,1,3,4,2241.0,1910,2010,WN,1072,60,211.0,LAS,BUR,223,1.0
106,2020,1,3,4,1409.0,1355,1500,WN,1328,65,14.0,LAS,BUR,223,0.0
107,2020,1,3,4,1100.0,1050,1155,WN,1586,65,10.0,LAS,BUR,223,0.0
108,2020,1,3,4,1306.0,1250,1355,WN,1838,65,16.0,LAS,BUR,223,1.0
109,2020,1,3,4,1726.0,1630,1740,WN,2284,70,56.0,LAS,BUR,223,1.0
110,2020,1,3,4,915.0,915,1020,WN,2699,65,0.0,LAS,BUR,223,0.0
111,2020,1,3,4,1229.0,1220,1325,WN,2874,65,9.0,LAS,BUR,223,0.0
112,2020,1,3,4,1459.0,1455,1555,WN,3237,60,4.0,LAS,BUR,223,0.0
113,2020,1,3,4,908.0,845,1610,WN,1774,265,23.0,LAS,BWI,2106,1.0
114,2020,1,3,4,1817.0,1730,50,WN,2632,260,47.0,LAS,BWI,2106,1.0
115,2020,1,3,4,1248.0,1245,2015,WN,3759,270,3.0,LAS,BWI,2106,0.0
116,2020,1,3,4,956.0,945,1645,WN,818,240,11.0,LAS,CLE,1825,0.0
117,2020,1,3,4,1849.0,1740,30,WN,564,230,69.0,LAS,CMH,1772,1.0
118,2020,1,3,4,1210.0,1200,1850,WN,991,230,10.0,LAS,CMH,1772,0.0
119,2020,1,3,4,701.0,700,955,WN,85,115,1.0,LAS,DEN,629,0.0
120,2020,1,3,4,1047.0,1030,1320,WN,157,110,17.0,LAS,DEN,629,1.0
121,2020,1,3,4,2232.0,2115,5,WN,632,110,77.0,LAS,DEN,629,1.0
122,2020,1,3,4,1512.0,1315,1610,WN,706,115,117.0,LAS,DEN,629,1.0
123,2020,1,3,4,2025.0,1955,2245,WN,908,110,30.0,LAS,DEN,629,1.0
124,2020,1,3,4,1439.0,1425,1720,WN,1582,115,14.0,LAS,DEN,629,0.0
125,2020,1,3,4,1627.0,1600,1900,WN,2907,120,27.0,LAS,DEN,629,1.0
126,2020,1,3,4,1745.0,1710,1945,WN,2192,95,35.0,LAS,ELP,584,1.0
127,2020,1,3,4,1049.0,1040,1320,WN,2280,100,9.0,LAS,ELP,584,0.0
128,2020,1,3,4,1117.0,1050,1325,WN,1636,155,27.0,LAS,GEG,806,1.0
129,2020,1,3,4,1725.0,1620,1850,WN,2803,150,65.0,LAS,GEG,806,1.0
130,2020,1,3,4,1824.0,1735,2230,WN,719,175,49.0,LAS,HOU,1235,1.0
131,2020,1,3,4,1150.0,1140,1640,WN,1776,180,10.0,LAS,HOU,1235,0.0
132,2020,1,3,4,749.0,740,1235,WN,3244,175,9.0,LAS,HOU,1235,0.0
133,2020,1,3,4,2051.0,2010,55,WN,3746,165,41.0,LAS,HOU,1235,1.0
134,2020,1,3,4,1555.0,1525,2245,WN,1027,260,30.0,LAS,IAD,2066,1.0
135,2020,1,3,4,2255.0,1820,55,WN,1924,215,275.0,LAS,IND,1591,1.0
136,2020,1,3,4,1129.0,1050,1725,WN,3920,215,39.0,LAS,IND,1591,1.0
137,2020,1,3,4,1602.0,1510,2255,WN,3144,285,52.0,LAS,ISP,2283,1.0
138,2020,1,3,4,1738.0,1715,1820,WN,82,65,23.0,LAS,LAX,236,1.0
139,2020,1,3,4,2207.0,2150,2255,WN,135,65,17.0,LAS,LAX,236,1.0
140,2020,1,3,4,1851.0,1825,1930,WN,317,65,26.0,LAS,LAX,236,1.0
141,2020,1,3,4,701.0,645,745,WN,337,60,16.0,LAS,LAX,236,1.0
142,2020,1,3,4,1556.0,1455,1600,WN,354,65,61.0,LAS,LAX,236,1.0
143,2020,1,3,4,1254.0,1250,1355,WN,784,65,4.0,LAS,LAX,236,0.0
144,2020,1,3,4,840.0,840,945,WN,790,65,0.0,LAS,LAX,236,0.0
145,2020,1,3,4,1540.0,1525,1630,WN,1061,65,15.0,LAS,LAX,236,0.0
146,2020,1,3,4,750.0,750,855,WN,1653,65,0.0,LAS,LAX,236,0.0
147,2020,1,3,4,1228.0,1200,1310,WN,1928,70,28.0,LAS,LAX,236,1.0
148,2020,1,3,4,2047.0,2005,2115,WN,2367,70,42.0,LAS,LAX,236,1.0
149,2020,1,3,4,2158.0,2120,2225,WN,2896,65,38.0,LAS,LAX,236,1.0
150,2020,1,3,4,1028.0,1025,1135,WN,3655,70,3.0,LAS,LAX,236,0.0
151,2020,1,3,4,1423.0,1420,1525,WN,3917,65,3.0,LAS,LAX,236,0.0
152,2020,1,3,4,1147.0,1100,1500,WN,2382,120,47.0,LAS,LBB,775,1.0
153,2020,1,3,4,859.0,850,1345,WN,565,175,9.0,LAS,LIT,1295,0.0
154,2020,1,3,4,1140.0,1110,1510,WN,43,120,30.0,LAS,MAF,796,1.0
155,2020,1,3,4,1226.0,1210,1700,WN,213,170,16.0,LAS,MCI,1140,1.0
156,2020,1,3,4,2118.0,2005,50,WN,411,165,73.0,LAS,MCI,1140,1.0
157,2020,1,3,4,2003.0,1905,2350,WN,1004,165,58.0,LAS,MCI,1140,1.0
158,2020,1,3,4,1622.0,1510,2000,WN,1405,170,72.0,LAS,MCI,1140,1.0
159,2020,1,3,4,648.0,650,1135,WN,2972,165,-2.0,LAS,MCI,1140,0.0
160,2020,1,3,4,1003.0,940,1430,WN,3068,170,23.0,LAS,MCI,1140,1.0
161,2020,1,3,4,1319.0,1300,2025,WN,380,265,19.0,LAS,MCO,2039,1.0
162,2020,1,3,4,1506.0,1500,2030,WN,74,210,6.0,LAS,MDW,1521,0.0
163,2020,1,3,4,648.0,645,1210,WN,227,205,3.0,LAS,MDW,1521,0.0
164,2020,1,3,4,1052.0,1050,1620,WN,335,210,2.0,LAS,MDW,1521,0.0
165,2020,1,3,4,1424.0,1415,1945,WN,396,210,9.0,LAS,MDW,1521,0.0
166,2020,1,3,4,1211.0,1145,1720,WN,693,215,26.0,LAS,MDW,1521,1.0
167,2020,1,3,4,814.0,755,1320,WN,823,205,19.0,LAS,MDW,1521,1.0
168,2020,1,3,4,934.0,935,1505,WN,830,210,-1.0,LAS,MDW,1521,0.0
169,2020,1,3,4,1708.0,1700,2230,WN,1865,210,8.0,LAS,MDW,1521,0.0
170,2020,1,3,4,1919.0,1845,5,WN,2025,200,34.0,LAS,MDW,1521,1.0
171,2020,1,3,4,1945.0,1815,2335,WN,2450,200,90.0,LAS,MDW,1521,1.0
172,2020,1,3,4,2057.0,1930,50,WN,2794,200,87.0,LAS,MDW,1521,1.0
173,2020,1,3,4,1354.0,1310,1845,WN,3232,215,44.0,LAS,MDW,1521,1.0
174,2020,1,3,4,1703.0,1645,35,WN,767,290,18.0,LAS,MHT,2356,1.0
175,2020,1,3,4,1030.0,1030,1545,WN,762,195,0.0,LAS,MSY,1501,0.0
176,2020,1,3,4,1903.0,1825,2340,WN,3327,195,38.0,LAS,MSY,1501,1.0
177,2020,1,3,4,1108.0,1110,1240,WN,125,90,-2.0,LAS,OAK,407,0.0
179,2020,1,3,4,1354.0,1345,1520,WN,127,95,9.0,LAS,OAK,407,0.0
180,2020,1,3,4,1944.0,1740,1915,WN,223,95,124.0,LAS,OAK,407,1.0
181,2020,1,3,4,1251.0,1205,1345,WN,237,100,46.0,LAS,OAK,407,1.0
182,2020,1,3,4,1548.0,1505,1635,WN,280,90,43.0,LAS,OAK,407,1.0
183,2020,1,3,4,821.0,820,950,WN,864,90,1.0,LAS,OAK,407,0.0
184,2020,1,3,4,2216.0,2125,2255,WN,900,90,51.0,LAS,OAK,407,1.0
185,2020,1,3,4,2010.0,1900,2030,WN,962,90,70.0,LAS,OAK,407,1.0
186,2020,1,3,4,1433.0,1420,1555,WN,1011,95,13.0,LAS,OAK,407,0.0
187,2020,1,3,4,935.0,925,1055,WN,1258,90,10.0,LAS,OAK,407,0.0
188,2020,1,3,4,2156.0,2155,2325,WN,1950,90,1.0,LAS,OAK,407,0.0
189,2020,1,3,4,2035.0,2020,2150,WN,3135,90,15.0,LAS,OAK,407,0.0
190,2020,1,3,4,602.0,600,730,WN,3233,90,2.0,LAS,OAK,407,0.0
191,2020,1,3,4,1152.0,1145,1605,WN,86,140,7.0,LAS,OKC,987,0.0
192,2020,1,3,4,1435.0,1315,1755,WN,479,160,80.0,LAS,OMA,1099,1.0
193,2020,1,3,4,2049.0,1920,2355,WN,875,155,89.0,LAS,OMA,1099,1.0
194,2020,1,3,4,913.0,910,1350,WN,2111,160,3.0,LAS,OMA,1099,0.0
195,2020,1,3,4,1613.0,1610,1705,WN,187,55,3.0,LAS,ONT,197,0.0
196,2020,1,3,4,2015.0,1945,2040,WN,725,55,30.0,LAS,ONT,197,1.0
